DateRepConf,HealthStatus,Count
2020-06-24,RECOVERED,452
2020-07-23,DIED,52
2020-08-15,DIED,94
2020-05-20,DIED,7
2021-05-20,DIED,128
2021-01-06,DIED,41
2020-04-03,RECOVERED,306
2020-05-05,RECOVERED,186
2020-04-14,RECOVERED,263
2020-04-28,RECOVERED,162
2020-12-14,DIED,18
2020-12-19,DIED,31
2021-07-16,DIED,83
2020-04-06,RECOVERED,355
2020-05-10,DIED,15
2020-07-07,DIED,44
2021-08-05,DIED,81
2021-02-16,DIED,44
2021-02-11,DIED,31
2021-07-12,ACTIVE,6
2020-11-22,DIED,37
2020-04-14,DIED,24
2020-06-14,DIED,29
2020-06-23,ACTIVE,6
2020-07-31,ACTIVE,13
2020-04-08,RECOVERED,87
2020-03-29,RECOVERED,285
2020-10-12,DIED,55
2020-09-29,ACTIVE,5
2020-09-10,DIED,55
2020-11-09,DIED,44
2021-01-22,DIED,34
2021-04-01,DIED,122
2021-08-01,ACTIVE,63
2021-05-16,DIED,107
2020-08-10,ACTIVE,22
2020-12-30,DIED,38
2021-01-27,DIED,60
2020-05-03,RECOVERED,287
2020-03-28,DIED,50
2020-04-05,RECOVERED,134
2021-01-09,ACTIVE,3
2020-04-01,RECOVERED,191
2020-04-04,RECOVERED,61
2021-02-25,ACTIVE,12
2020-09-08,DIED,90
2021-02-20,ACTIVE,2
2021-04-09,DIED,155
2021-05-20,ACTIVE,12
2020-10-02,DIED,47
2020-03-28,RECOVERED,216
2020-08-20,ACTIVE,14
2020-04-18,RECOVERED,178
2020-07-17,DIED,66
2020-10-15,DIED,45
2020-03-22,DIED,15
2020-12-28,DIED,28
2021-02-01,DIED,21
2021-03-11,DIED,66
2021-01-24,DIED,42
2020-05-08,DIED,6
2021-07-18,DIED,84
2020-07-11,DIED,30
2020-06-30,DIED,76
2020-07-30,DIED,97
2020-04-11,DIED,28
2021-04-21,ACTIVE,19
2020-03-10,RECOVERED,8
2020-04-09,DIED,29
2020-04-11,RECOVERED,205
2020-08-19,ACTIVE,16
2020-05-06,RECOVERED,300
2020-08-25,DIED,55
2021-01-10,ACTIVE,3
2020-04-28,DIED,18
2021-04-09,ACTIVE,20
2021-04-30,DIED,129
2020-03-21,RECOVERED,68
2020-04-08,DIED,18
2020-07-31,DIED,102
2020-07-15,DIED,41
2020-05-01,DIED,14
2020-04-19,DIED,23
2020-10-11,DIED,63
2021-07-27,DIED,117
2020-08-07,DIED,45
2021-05-28,DIED,170
2020-11-28,DIED,30
2020-10-12,ACTIVE,5
2021-06-07,ACTIVE,19
2021-07-02,DIED,101
2021-04-05,DIED,138
2021-06-01,DIED,95
2021-01-08,DIED,38
2020-09-17,DIED,73
2021-07-11,DIED,95
2021-06-28,DIED,88
2020-08-31,DIED,62
2020-07-19,ACTIVE,18
2021-04-28,DIED,102
2020-11-14,DIED,35
2021-04-29,DIED,129
2021-03-27,DIED,138
2021-07-09,DIED,100
2020-11-01,ACTIVE,6
2020-10-28,DIED,47
2021-07-20,DIED,56
2020-05-15,DIED,11
2020-11-13,DIED,28
2021-06-30,DIED,99
2021-01-21,DIED,46
2020-08-23,DIED,55
2021-02-24,DIED,37
2021-05-26,DIED,107
2020-05-11,RECOVERED,268
2021-02-27,DIED,46
2020-11-06,DIED,48
2020-09-23,ACTIVE,7
2021-05-04,DIED,95
2020-05-23,RECOVERED,164
2020-05-18,RECOVERED,196
2020-04-13,RECOVERED,271
2021-02-28,DIED,32
2021-06-06,DIED,119
2021-06-04,DIED,123
2021-05-30,DIED,120
2021-08-11,DIED,57
2020-06-17,RECOVERED,436
2020-08-01,ACTIVE,24
2020-07-27,DIED,40
2021-05-09,DIED,119
2021-05-27,DIED,141
2021-06-21,DIED,72
2020-08-02,DIED,84
2020-08-04,DIED,110
2021-06-29,DIED,64
2021-07-01,DIED,96
2021-02-23,DIED,30
2020-12-23,DIED,26
2020-04-13,DIED,13
2020-03-17,RECOVERED,38
2021-05-02,DIED,124
2020-10-10,DIED,59
2021-06-20,DIED,90
2020-09-25,DIED,75
2021-06-05,DIED,120
2021-08-01,DIED,101
2021-02-14,DIED,33
2021-07-15,DIED,102
2020-09-26,ACTIVE,5
2021-01-17,DIED,37
2020-08-22,DIED,70
2021-03-23,DIED,64
2020-07-28,DIED,34
2020-04-29,RECOVERED,237
2020-08-28,DIED,92
2021-02-07,DIED,44
2021-07-05,ACTIVE,23
2021-01-16,DIED,27
2020-10-23,DIED,50
2021-01-07,ACTIVE,3
2021-02-20,DIED,32
2020-08-04,ACTIVE,28
2020-05-10,RECOVERED,165
2020-09-27,ACTIVE,6
2021-07-30,DIED,106
2020-10-21,DIED,43
2021-05-28,ACTIVE,21
2020-04-22,RECOVERED,104
2020-04-25,RECOVERED,95
2020-06-16,DIED,24
2020-09-18,DIED,78
2020-10-19,DIED,50
2020-10-24,DIED,37
2020-03-22,RECOVERED,58
2021-04-28,ACTIVE,30
2020-10-06,DIED,32
2020-12-16,DIED,30
2020-11-26,ACTIVE,4
2020-03-31,DIED,105
2020-04-19,RECOVERED,148
2020-04-10,RECOVERED,104
2020-08-12,DIED,80
2020-10-08,DIED,45
2021-05-23,DIED,57
2020-09-19,DIED,77
2021-05-24,DIED,73
2021-06-26,DIED,92
2020-07-03,DIED,42
2020-07-04,DIED,69
2020-06-26,DIED,47
2020-03-25,RECOVERED,69
2020-09-01,DIED,78
2020-03-27,RECOVERED,77
2020-04-07,RECOVERED,93
2021-01-14,DIED,48
2021-01-03,DIED,24
2021-01-05,DIED,32
2021-04-16,DIED,162
2020-10-01,ACTIVE,9
2020-03-14,RECOVERED,44
2020-03-10,DIED,1
2020-09-04,DIED,99
2020-03-21,DIED,9
2020-06-29,DIED,25
2020-04-06,DIED,57
2020-05-02,RECOVERED,149
2021-01-25,DIED,33
2021-05-15,DIED,112
2021-01-30,DIED,40
2020-09-07,DIED,40
2021-01-28,ACTIVE,8
2021-07-26,DIED,84
2021-05-31,DIED,128
2020-08-08,ACTIVE,18
2020-04-20,RECOVERED,177
2020-04-15,RECOVERED,213
2020-06-24,DIED,12
2020-07-25,DIED,63
2020-11-22,ACTIVE,7
2020-12-24,ACTIVE,4
2020-08-18,DIED,86
2020-05-30,DIED,18
2020-10-10,ACTIVE,8
2020-06-09,ACTIVE,3
2021-04-18,ACTIVE,25
2020-09-05,DIED,63
2021-07-21,ACTIVE,37
2020-12-16,ACTIVE,8
2020-05-09,RECOVERED,139
2021-05-11,ACTIVE,10
2020-08-16,DIED,77
2020-12-12,ACTIVE,4
2020-03-30,RECOVERED,97
2020-09-27,DIED,55
2021-05-12,DIED,108
2020-06-23,DIED,75
2021-01-18,DIED,39
2021-06-07,DIED,112
2020-09-18,ACTIVE,9
2020-09-15,DIED,55
2021-02-12,ACTIVE,5
